value,ignore,type,docRequired,selRequired,minVersion,maxVersion,en,de,ru,notes
Adobe Polar Grid Tool,FALSE,tool,TRUE,FALSE,24,,Polar Grid Tool,Radiales-Raster-Werkzeug,Инструмент: Полярная сетка,
Adobe Shape Construction Regular Polygon Tool,FALSE,tool,TRUE,FALSE,24,,Polygon Tool,Polygon-Werkzeug,Инструмент: Многоугольник,
Adobe Page Tool,FALSE,tool,TRUE,FALSE,24,,Print Tiling Tool,Druckaufteilungs-Werkzeug,Инструмент: Разбиение для печати,
Adobe Pucker Tool,FALSE,tool,TRUE,FALSE,24,,Pucker Tool,Zusammenziehen-Werkzeug,Инструмент: Втягивание,
Adobe Puppet Warp Tool,FALSE,tool,TRUE,FALSE,24,,Puppet Warp Tool,Formgitter-Werkzeug,Инструмент: Марионеточная деформация,
Adobe Radar Graph Tool,FALSE,tool,TRUE,FALSE,24,,Radar Graph Tool,Netzdiagramm,Инструмент: Диаграмма радар,
Adobe Rectangle Shape Tool,FALSE,tool,TRUE,FALSE,24,,Rectangle Tool,Rechteck-Werkzeug,Инструмент: Прямоугольник,
Adobe Rectangular Grid Tool,FALSE,tool,TRUE,FALSE,24,,Rectangular Grid Tool,Rechteckiges-Raster-Werkzeug,Инструмент: Прямоугольная сетка,
Adobe Reflect Tool,FALSE,tool,TRUE,FALSE,24,,Reflect Tool,Spiegeln-Werkzeug,Инструмент: Зеркальное отражение,
Adobe Reshape Tool,FALSE,tool,TRUE,FALSE,24,,Reshape Tool,Form-ändern-Werkzeug,Инструмент: Перерисовка,
Adobe Rotate Tool,FALSE,tool,TRUE,FALSE,24,,Rotate Tool,Drehen-Werkzeug,Инструмент: Поворот,
Adobe Rotate Canvas Tool,FALSE,tool,TRUE,FALSE,24,,Rotate View Tool,Ansichtdrehung-Werkzeug,Инструмент: Поворот вида,
Adobe Rounded Rectangle Tool,FALSE,tool,TRUE,FALSE,24,,Rounded Rectangle Tool,Abgerundetes-Rechteck-Werkzeug,Инструмент: Прямоугольник со скругленными углами,
Adobe Scale Tool,FALSE,tool,TRUE,FALSE,24,,Scale Tool,Skalieren-Werkzeug,Инструмент: Масштаб,
Adobe Scallop Tool,FALSE,tool,TRUE,FALSE,24,,Scallop Tool,Ausbuchten-Werkzeug,Инструмент: Зубцы,
Adobe Scatter Graph Tool,FALSE,tool,TRUE,FALSE,24,,Scatter Graph Tool,Streudiagramm,Инструмент: Точечная диаграмма,
Adobe Scissors Tool,FALSE,tool,TRUE,FALSE,24,,Scissors Tool,Schere-Werkzeug,Инструмент: Ножницы,
