value,en,minVersion,maxVersion
about,About Ai Command Palette...,,
buildWorkflow,Build Workflow...,,
editWorkflow,Edit Workflow...,,
workflowsNeedingAttention,Workflows Needing Attention...,,
loadScript,Load Scripts...,,
showBuiltInMenuCommands,Show All Built-In Menu Commands...,,
showBuiltInTools,Show All Built-In Tools...,,
hideCommand,Hide Commands...,,
unhideCommand,Reveal Commands...,,
deleteCommand,Delete Commands...,,
revealPrefFile,Reveal Preferences File,,
